fecha,consumo_real,consumo_predicho,error,error_abs,error_pct
2022-02-20 10:00:00,980.5361959999999,1288.8214258431085,-308.2852298431086,308.2852298431086,-31.440474212041085
2022-02-20 11:00:00,1081.85601,1375.9634278888236,-294.10741788882365,294.10741788882365,-27.185449373140113
2022-02-20 12:00:00,1157.326968,1449.4230022445395,-292.0960342445394,292.0960342445394,-25.2388514500199
2022-02-20 13:00:00,1226.548509,1500.0510058205587,-273.5024968205587,273.5024968205587,-22.298547086698118
2022-02-20 14:00:00,1296.266412,1537.2188804840634,-240.9524684840635,240.9524684840635,-18.588190379190625
2022-02-20 15:00:00,1325.063796,1547.8118732469854,-222.74807724698553,222.74807724698553,-16.81036625703609
2022-02-20 16:00:00,1312.374984,1548.5509281783852,-236.17594417838518,236.17594417838518,-17.996071782665524
2022-02-20 17:00:00,1285.567499,1530.4239845512789,-244.85648555127887,244.85648555127887,-19.04656781862831
2022-02-20 18:00:00,1267.932604,1491.1302456232297,-223.19764162322963,223.19764162322963,-17.60327330641224
2022-02-20 19:00:00,1257.101592,1433.3718512619203,-176.27025926192027,176.27025926192027,-14.02195816023756
2022-02-20 20:00:00,1266.358556,1366.834651516499,-100.47609551649907,100.47609551649907,-7.934253299781795
2022-02-20 21:00:00,1318.868187,1330.7080653012385,-11.839878301238514,11.839878301238514,-0.897730221863219
2022-02-20 22:00:00,1384.1592329999999,1383.1837546121878,0.9754783878120179,0.9754783878120179,0.07047443419481333
2022-02-20 23:00:00,1322.751722,1326.7643030878316,-4.012581087831677,4.012581087831677,-0.3033510386790241
2022-02-21 00:00:00,1241.9933,1238.5447746973823,3.4485253026177816,3.4485253026177816,0.2776605399254393
2022-02-21 01:00:00,1149.872762,1123.520762783016,26.35199921698404,26.35199921698404,2.2917317539681004
2022-02-21 02:00:00,1060.4268200000001,1020.2919354235344,40.134884576465765,40.134884576465765,3.7847858823926916
2022-02-21 03:00:00,988.2272439999999,943.6001331476624,44.62711085233752,44.62711085233752,4.51587538425904
2022-02-21 04:00:00,935.5805240000001,894.9030069110811,40.67751708891899,40.67751708891899,4.347837096373651
2022-02-21 05:00:00,920.405446,872.5134985632037,47.89194743679627,47.89194743679627,5.20335333139655
2022-02-21 06:00:00,934.8133330000001,875.5428998794014,59.27043312059868,59.27043312059868,6.340349568013562
2022-02-21 07:00:00,1011.8748210000001,897.9099800747542,113.96484092524588,113.96484092524588,11.26274105848572
2022-02-21 08:00:00,1132.113627,990.2765642198327,141.83706278016723,141.83706278016723,12.528518286280397
2022-02-21 09:00:00,1291.517458,1160.1139703101271,131.40348768987292,131.40348768987292,10.174348544491213
2022-02-21 10:00:00,1438.161291,1287.2579204785175,150.90337052148243,150.90337052148243,10.492798788691807
2022-02-21 11:00:00,1570.96032,1374.2942081211759,196.66611187882404,196.66611187882404,12.518846553605126
2022-02-21 12:00:00,1648.945025,1447.6646666100364,201.28035838996357,201.28035838996357,12.206614249614754
2022-02-21 13:00:00,1706.827022,1498.2312519371017,208.59577006289828,208.59577006289828,12.221260114482666
2022-02-21 14:00:00,1759.326395,1535.354037210982,223.97235778901813,223.97235778901813,12.73057452133651
2022-02-21 15:00:00,1783.8053969999999,1545.9341793177305,237.8712176822694,237.8712176822694,13.335043053593218
2022-02-21 16:00:00,1749.239736,1546.672337680896,202.5673983191041,202.5673983191041,11.580310814475123
2022-02-21 17:00:00,1738.054177,1528.567384356741,209.48679264325892,209.48679264325892,12.052949523405962
2022-02-21 18:00:00,1693.138037,1489.3213137637904,203.81672323620955,203.81672323620955,12.037809013926818
2022-02-21 19:00:00,1623.525454,1431.6329877281805,191.89246627181956,191.89246627181956,11.81949231525997
2022-02-21 20:00:00,1542.112674,1365.1765061231167,176.93616787688325,176.93616787688325,11.473621276838248
2022-02-21 21:00:00,1541.591684,1329.093746081304,212.49793791869592,212.49793791869592,13.784320460741142
2022-02-21 22:00:00,1560.85102,1381.505775663991,179.34524433600905,179.34524433600905,11.490221810920112
2022-02-21 23:00:00,1480.82874,1325.1547681562818,155.67397184371816,155.67397184371816,10.512624967267866
2022-02-22 00:00:00,1375.648483,1237.0422613462733,138.6062216537266,138.6062216537266,10.075700541715104
2022-02-22 01:00:00,1257.5218439999999,1122.157788281959,135.36405571804085,135.36405571804085,10.764350246789101
2022-02-22 02:00:00,1034.245255,1019.054190703827,15.191064296173067,15.191064296173067,1.4688067673245517
2022-02-22 03:00:00,1077.9830980000002,942.4554254010174,135.5276725989828,135.5276725989828,12.572337437426388
2022-02-22 04:00:00,1038.9001409999998,893.8173750120159,145.08276598798398,145.08276598798398,13.96503477690682
2022-02-22 05:00:00,1022.8127310000001,871.4550280037239,151.3577029962762,151.3577029962762,14.798183324164762
2022-02-22 06:00:00,1029.4554699999999,874.4807542683477,154.97471573165217,154.97471573165217,15.05404752783063
2022-02-22 07:00:00,1089.538965,896.8207003323348,192.71826466766515,192.71826466766515,17.688056219968708
2022-02-22 08:00:00,1194.790226,989.0752319874998,205.71499401250026,205.71499401250026,17.21766629286941
2022-02-22 09:00:00,1349.452705,1158.7066035642415,190.74610143575842,190.74610143575842,14.135071257333056
2022-02-22 10:00:00,1506.914257,1285.6963118460703,221.21794515392958,221.21794515392958,14.68019458481569
2022-02-22 11:00:00,1578.555867,1372.627013330775,205.92885366922496,205.92885366922496,13.045395349902112
2022-02-22 12:00:00,1633.796808,1445.9084640617339,187.8883439382662,187.8883439382662,11.500104726503187
2022-02-22 13:00:00,1681.22125,1496.413705648043,184.80754435195695,184.80754435195695,10.992458271150031
2022-02-22 14:00:00,1734.48079,1533.4914562314998,200.98933376850027,200.98933376850027,11.587867385288266
2022-02-22 15:00:00,1760.777593,1544.058763271566,216.718829728434,216.718829728434,12.3081319634009
2022-02-22 16:00:00,1733.5887870000001,1544.7960261541489,188.79276084585126,188.79276084585126,10.890285069999777
2022-02-22 17:00:00,1716.851503,1526.713036455893,190.13846654410713,190.13846654410713,11.074834731592224
2022-02-22 18:00:00,1642.8478910000001,1487.514576370248,155.33331462975207,155.33331462975207,9.455124572439924
2022-02-22 19:00:00,1575.1148660000001,1429.896233658489,145.218632341511,145.218632341511,9.21955823515864
2022-02-22 20:00:00,1528.64759,1363.5203722723459,165.12721772765417,165.12721772765417,10.802176957453886
2022-02-22 21:00:00,1539.247508,1327.4813852372222,211.76612276277774,211.76612276277774,13.757769407594047
2022-02-22 22:00:00,1552.51777,1379.8298323190459,172.68793768095406,172.68793768095406,11.123089282318107
2022-02-22 23:00:00,1471.741569,1323.5471857966306,148.1943832033694,148.1943832033694,10.069321022444356
2022-02-23 00:00:00,1367.414068,1235.5415707361872,131.87249726381287,131.87249726381287,9.643933052165503
2022-02-23 01:00:00,1262.701992,1120.7964672434382,141.90552475656182,141.90552475656182,11.238243517126076
2022-02-23 02:00:00,1158.214528,1017.817947526901,140.396580473099,140.396580473099,12.121811381138107
2022-02-23 03:00:00,1079.812051,941.3121063313963,138.4999446686038,138.4999446686038,12.826301071593042
2022-02-23 04:00:00,1028.060297,892.7330601234098,135.32723687659018,135.32723687659018,13.163356008542578
2022-02-23 05:00:00,1009.381683,870.3978415045217,138.98384149547826,138.98384149547826,13.7692058253328
2022-02-23 06:00:00,1025.922048,873.4198971758797,152.50215082412024,152.50215082412024,14.8648867739433
2022-02-23 07:00:00,1101.879126,895.7327420256759,206.14638397432418,206.14638397432418,18.708620492945446
2022-02-23 08:00:00,1214.7322669999999,987.875357124941,226.85690987505882,226.85690987505882,18.67546586502743
2022-02-23 09:00:00,1360.796054,1157.3009441343686,203.49510986563132,203.49510986563132,14.954122571671666
2022-02-23 10:00:00,1481.144146,1284.136597644788,197.00754835521207,197.00754835521207,13.301038179656826
2022-02-23 11:00:00,1578.651753,1370.9618410610644,207.68991193893567,207.68991193893567,13.156157559401619
2022-02-23 12:00:00,1629.309424,1444.1543920119257,185.15503198807437,185.15503198807437,11.36401896783446
2022-02-23 13:00:00,1665.333043,1494.5983642752885,170.73467872471156,170.73467872471156,10.252284336900145
2022-02-23 14:00:00,1705.503408,1531.631134801166,173.87227319883414,173.87227319883414,10.1947772360496
2022-02-23 15:00:00,1714.132392,1542.185622345129,171.94676965487088,171.94676965487088,10.031125393660426
2022-02-23 16:00:00,1711.9615919999999,1542.9219908334626,169.0396011665373,169.0396011665373,9.874029999064215
2022-02-23 17:00:00,1680.941268,1524.8609381164163,156.08032988358377,156.08032988358377,9.285293475440081
2022-02-23 18:00:00,1629.77008,1485.710030780438,144.06004921956196,144.06004921956196,8.839286656898375
2022-02-23 19:00:00,1542.59156,1428.1615864938003,114.42997350619976,114.42997350619976,7.418034460541179
2022-02-23 20:00:00,1507.916535,1361.866247523933,146.05028747606707,146.05028747606707,9.685568404226503
2022-02-23 21:00:00,1535.65935,1325.8709803932384,209.78836960676153,209.78836960676153,13.661126708000804
2022-02-23 22:00:00,1541.170634,1378.1559221079106,163.0147118920895,163.0147118920895,10.577330523680969
2022-02-23 23:00:00,1460.876476,1321.941553640163,138.93492235983695,138.93492235983695,9.510381243200808
2022-02-24 00:00:00,1360.556493,1234.042700655909,126.51379234409114,126.51379234409114,9.298679841300139
2022-02-24 01:00:00,1248.416095,1119.436797661595,128.9792973384051,128.9792973384051,10.331434996310673
2022-02-24 02:00:00,1137.3809039999999,1016.5832040711958,120.79769992880404,120.79769992880404,10.62068999962778
2022-02-24 03:00:00,1070.5161580000001,940.1701742541593,130.34598374584084,130.34598374584084,12.175994054060865
2022-02-24 04:00:00,1037.6946719999999,891.6500606475634,146.0446113524365,146.0446113524365,14.073948271407962
2022-02-24 05:00:00,1013.8158960000001,869.3419375078702,144.4739584921299,144.4739584921299,14.250512253965475
2022-02-24 06:00:00,1027.723602,872.3603270388619,155.36327496113813,155.36327496113813,15.117223605529118
2022-02-24 07:00:00,1094.511673,894.6461035517091,199.8655694482909,199.8655694482909,18.26070697816038
2022-02-24 08:00:00,1198.084962,986.6769378641826,211.4080241358173,211.4080241358173,17.645495172805393
2022-02-24 09:00:00,1347.416929,1155.8969899493172,191.51993905068275,191.51993905068275,14.213858749186217
